energy_type,postcode,location_name,consumption_level_kwh,provider,product,unit_rate_ct_per_kwh,standing_charge_eur_per_year,signup_bonus,price_guarantee_months,contract_length_months
ELECTRICITY,57413,Finnentrop,2000,KlickEnergie,KlickNaturstrom,30.35,175.06,50,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,KlickEnergie,KlickStrom,30.16,175.06,50,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,MONTANA,MONTANA dynamic,31.81,175.5,99.96,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,MONTANA,MONTANA garant 12,35.46,168.22,156.62,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Mainova,Strom Online 12,35.56,129.45,175.01,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Mainova,Strom Online 12 ÖkoPremium,37.45,129.45,175.01,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,NEW Energie,NEWfair Strom 12,33.16,158.67,172.61,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,220,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,33.28,200.32,220,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Rabot Energy,rabot.home flex,22.35,170.96,64.26,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,33.46,184.9,128,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,SimplyGreen,SimplyGreen dynamisch,21.44,171,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke Augsburg,swa Strom Online natur,34.51,182.46,213.18,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,32.89,219.45,228,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke München,M-Strom Fix,36.69,207.7,282.5,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke München,M-Ökostrom Fix,37.64,207.7,282.5,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke Pforzheim,SWP MaxSpar Strom,33.2,170.57,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke Schwerin,meckpommSTROM 12,33.35,170.57,125.6,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Stadtwerke Schwerin,meckpommSTROM natur 12,33.65,170.57,126.5,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,TEAG Thüringer Energie,TEAG.Strom direkt,33.81,179.5,200,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Tibber Deutschland,Dynamischer Tarif,21.19,182.93,45.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,2000,Vattenfall Sales,ÖkoStrom12,34.6,178.8,222,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,Vattenfall Sales,Ökostrom12 Smart,34.6,178.8,220,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,VeganStrom,VeganStrom Solarplus,32.01,184.2,123.66,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,eins energie in sachsen,einsstrom Online,31.5,173.59,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,enercity,enercity Strom natürlich garantiert,33.22,185.45,120,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,enviaM,MEIN STROM relax,35.2,192.78,202.6,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,eprimo,eprimoStrom PrimaKlima,35.01,206.71,258.11,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,goldstrom,goldgas sicher12 Strom,33.87,174.63,200.85,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,goldstrom,natürlich12 Strom,34.16,174.63,206.08,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,immergrün! energie,Spar Smart FairPlus,31.75,154.65,158.44,12,12 Monate
ELECTRICITY,57413,Finnentrop,2000,tado energy,tado° Home Monthly,26.18,166.08,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,123energie,123strom,32.39,224.12,215,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,123energie,123ökostrom,33.28,236.02,215,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,E WIE EINFACH,Grün & Günstig Strom,33.83,220.8,293.19,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,ENSTROGA,Fairpower X,17.65,219.84,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,ENTEGA,ENTEGA Ökostrom eco,35.67,158.67,278,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,27.67,207.5,205.63,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,35.3,125.24,207.62,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Grünwelt Wärmestrom,Strom Bonus 12,35.62,258.28,385.03,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Grüüün,Natüüürlich25,27.58,212.95,0,18,12 Monate
ELECTRICITY,57413,Finnentrop,3000,KlickEnergie,KlickNaturstrom,30.35,175.06,120,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,KlickEnergie,KlickStrom,30.16,175.06,120,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,MONTANA,MONTANA dynamic,31.81,175.5,149.94,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,MONTANA,MONTANA garant 12,35.02,168.22,207.83,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Mainova,Strom Online 12,35.56,129.45,215,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Mainova,Strom Online 12 ÖkoPremium,37.45,129.45,215,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,NEW Energie,NEWfair Strom 12,33.16,158.67,209.97,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,220,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,33.28,200.32,220,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Rabot Energy,rabot.home flex,21.99,170.96,52.84,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,33.46,184.9,219,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,SimplyGreen,SimplyGreen dynamisch,21.44,171,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke Augsburg,swa Strom Online natur,34.51,182.46,259.48,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,32.89,219.45,253,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke München,M-Strom Fix,36.69,207.7,364.9,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke München,M-Ökostrom Fix,37.64,207.7,364.9,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke Pforzheim,SWP MaxSpar Strom,33.2,170.57,174,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke Schwerin,meckpommSTROM 12,33.35,170.57,175.61,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Stadtwerke Schwerin,meckpommSTROM natur 12,33.65,170.57,176.96,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,TEAG Thüringer Energie,TEAG.Strom direkt,33.81,179.5,250,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Tibber Deutschland,Dynamischer Tarif,21.19,182.93,45.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,3000,Vattenfall Sales,ÖkoStrom12,34.8,178.8,263,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,Vattenfall Sales,Ökostrom12 Smart,34.8,178.8,261,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,VeganStrom,VeganStrom Solarplus,32.32,184.2,173.07,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,eins energie in sachsen,einsstrom Online,31.5,173.59,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,enviaM,MEIN STROM relax,35.2,192.78,238.9,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,eprimo,eprimoStrom PrimaKlima,35.35,218.02,336.52,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,goldstrom,goldgas sicher12 Strom,33.82,198.43,269.26,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,goldstrom,natürlich12 Strom,34.11,198.43,277.33,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,immergrün! energie,Spar Smart FairPlus,33.98,142.89,234.36,12,12 Monate
ELECTRICITY,57413,Finnentrop,3000,tado energy,tado° Home Monthly,26.18,166.08,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,123energie,123strom,32.39,236.02,285.01,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,123energie,123ökostrom,33.28,247.92,285.01,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Aras Energy,Aras Ideal Basic,32.61,194.38,217,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,E WIE EINFACH,Grün & Günstig Strom,33.8,220.8,315.35,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,ENSTROGA,Fairpower X,17.77,219.84,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,ENTEGA,ENTEGA Ökostrom eco,35.67,158.67,329,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,27.5,275,256.25,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,36,137.01,296.54,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Grünwelt Wärmestrom,Strom Bonus 12,35.62,324.62,507.41,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Grüüün,Natüüürlich25,27.58,212.95,0,18,12 Monate
ELECTRICITY,57413,Finnentrop,4000,KlickEnergie,KlickNaturstrom,30.35,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,KlickEnergie,KlickStrom,30.16,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,LichtBlick,ÖkoStrom Komfort 12,33.01,240.65,234.16,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,MONTANA,MONTANA dynamic,31.81,175.5,199.92,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,MONTANA,MONTANA garant 12,35.21,168.22,286.51,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,NEW Energie,NEWfair Strom 12,33.16,158.67,238.67,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,33.28,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Rabot Energy,rabot.home flex,21.75,170.96,51.41,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,33.46,184.9,239,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,SimplyGreen,SimplyGreen dynamisch,21.44,171,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke Augsburg,swa Strom Online natur,34.51,182.46,279.81,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,32.89,219.45,263,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke München,M-Strom Fix,36.69,207.7,429,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke München,M-Ökostrom Fix,37.64,207.7,429,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke Pforzheim,SWP MaxSpar Strom,32.9,170.57,178,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke Schwerin,meckpommSTROM 12,33.35,170.57,210,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Stadtwerke Schwerin,meckpommSTROM natur 12,33.65,170.57,210,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,TEAG Thüringer Energie,TEAG.Strom direkt,33.81,179.5,350,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Tibber Deutschland,Dynamischer Tarif,21.19,182.93,45.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,4000,Vattenfall Sales,ÖkoStrom12,34.7,178.8,307,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,Vattenfall Sales,Ökostrom12 Smart,34.7,178.8,305,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,VeganStrom,VeganStrom Solarplus,33.24,184.2,227.07,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,eins energie in sachsen,einsstrom Online,31.5,173.59,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,enviaM,MEIN STROM relax,35.2,192.78,315.2,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,eprimo,eprimoStrom PrimaKlima,35.73,219.75,407.91,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,goldstrom,goldgas sicher12 Strom,33.77,217.47,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,goldstrom,natürlich12 Strom,34.07,217.47,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,immergrün! energie,Spar Smart FairPlus,34.61,142.89,329.09,12,12 Monate
ELECTRICITY,57413,Finnentrop,4000,tado energy,tado° Home Monthly,26.18,166.08,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,123energie,123strom,32.39,236.02,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,123energie,123ökostrom,33.28,247.92,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Aras Energy,Aras Ideal Basic,32.61,194.38,268,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,E WIE EINFACH,Grün & Günstig Strom,33.73,220.8,314.58,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,ENSTROGA,Fairpower X,18.56,219.84,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,ENTEGA,ENTEGA Ökostrom eco,35.67,158.67,327,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,26.82,335.34,301.47,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,37.03,107.6,353.89,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Grünwelt Wärmestrom,Strom Bonus 12,35.62,348.96,574.49,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Grüüün,Natüüürlich25,27.58,212.95,0,18,12 Monate
ELECTRICITY,57413,Finnentrop,5000,KlickEnergie,KlickNaturstrom,30.65,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,KlickEnergie,KlickStrom,30.46,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,LichtBlick,ÖkoStrom Komfort 12,33.01,240.65,283.68,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,MONTANA,MONTANA dynamic,31.81,175.5,249.9,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,MONTANA,MONTANA garant 12,35,168.22,337.72,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,NEW Energie,NEWfair Strom 12,33.16,158.67,252.56,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,33.28,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Rabot Energy,rabot.home flex,21.75,170.96,51.41,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,Rabot Energy,rabot.home flex,21.75,170.96,51.41,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,33.46,184.9,239,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,SimplyGreen,SimplyGreen dynamisch,21.44,171,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,Stadtwerke Augsburg,swa Strom Online natur,34.51,182.46,280.12,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,32.89,219.45,263,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Stadtwerke München,M-Strom Fix,36.69,207.7,450.1,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Stadtwerke Pforzheim,SWP MaxSpar Strom,32.9,170.57,217,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Stadtwerke Schwerin,meckpommSTROM 12,33.35,170.57,210,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,TEAG Thüringer Energie,TEAG.Strom direkt,33.81,179.5,350,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Tibber Deutschland,Dynamischer Tarif,21.19,182.93,45.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,Vattenfall Sales,ÖkoStrom12,34.7,178.8,323,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Vattenfall Sales,Ökostrom12 Smart,34.7,178.8,321,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,VeganStrom,VeganStrom Solarplus,33.24,184.2,276.93,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,Volkswagen Group Charging,Volkswagen Naturstrom Flex,29.1,183.07,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,eins energie in sachsen,einsstrom Online,31.74,173.59,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,enviaM,MEIN STROM relax,35.2,192.78,341.5,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,eprimo,eprimoStrom PrimaKlima,36.13,212.66,455,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,goldstrom,goldgas sicher12 Strom,33.77,243.65,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,immergrün! energie,EnerFlex Prime IG,29.09,219.76,50,1,1 Monat
ELECTRICITY,57413,Finnentrop,5000,immergrün! energie,Spar Smart FairPlus,35.29,107.6,380.84,12,12 Monate
ELECTRICITY,57413,Finnentrop,5000,tado energy,tado° Home Monthly,26.18,166.08,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,123energie,123strom,32.39,236.02,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,123energie,123ökostrom,33.28,247.92,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Aras Energy,Aras Ideal Basic,32.61,194.38,268,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,E WIE EINFACH,MeinÖkoTarif Strom,33.65,224.4,324.29,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,ENSTROGA,Fairpower X,19.02,219.84,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,ENTEGA,ENTEGA Ökostrom eco,35.67,158.67,329,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,27.56,413.44,360.06,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,36.99,107.6,409.01,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Grünwelt Wärmestrom,Strom Bonus 12,35.62,321.56,600.81,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Grünwelt Wärmestrom,Strom Classic,30.34,148.12,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Grüüün,Natüüürlich25,27.58,212.95,0,18,12 Monate
ELECTRICITY,57413,Finnentrop,6000,KlickEnergie,KlickNaturstrom,30.65,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,KlickEnergie,KlickStrom,30.46,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,LichtBlick,ÖkoStrom Komfort 12,33.01,240.65,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,MAXENERGY,MAX Ocean Strom 12,30,170.57,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,MONTANA,MONTANA dynamic,31.81,175.5,299.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,MONTANA,MONTANA garant 12,34.86,168.22,388.93,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,NEW Energie,NEWfair Strom 12,33.16,158.67,269.58,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Naturwerke,Naturstrom Premium classic,30.06,163.62,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,33.28,200.32,270,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Rabot Energy,rabot.home flex,21.75,170.96,51.41,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,Rabot Energy,rabot.home flex,21.75,170.96,51.41,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,33.46,184.9,239,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,SimplyGreen,SimplyGreen dynamisch,21.44,171,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,Stadtwerke Augsburg,swa Strom Online natur,34.51,182.46,292.91,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Stadtwerke München,M-Strom Fix,36.69,207.7,450,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Stadtwerke Pforzheim,SWP MaxSpar Strom,32.78,170.57,170,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,TEAG Thüringer Energie,TEAG.Strom direkt,33.81,179.5,350,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Tibber Deutschland,Dynamischer Tarif,21.19,182.93,45.88,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,Vattenfall Sales,ÖkoStrom12,34.7,178.8,342,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Vattenfall Sales,Ökostrom12 Smart,34.7,178.8,340,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,VeganStrom,VeganStrom Solarplus,34.96,198.48,344.41,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,Volkswagen Group Charging,Volkswagen Naturstrom Flex,29.1,183.07,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,eins energie in sachsen,einsstrom Online,31.74,173.59,125,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,enviaM,MEIN STROM relax,35.2,192.78,367.8,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,eprimo,eprimoStrom PrimaKlima,36.55,196.78,455,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,immergrün! energie,EnerFlex Prime IG,28.89,219.76,50,1,1 Monat
ELECTRICITY,57413,Finnentrop,6000,immergrün! energie,Spar Smart FairPlus,35.83,107.6,438.65,12,12 Monate
ELECTRICITY,57413,Finnentrop,6000,tado energy,tado° Home Monthly,26.18,166.08,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,7000,123energie,123strom,32.39,236.02,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,123energie,123ökostrom,33.28,247.92,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Aras Energy,Aras Ideal Basic,32.61,194.38,268,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,E WIE EINFACH,Grün & Günstig Strom,33.65,224.4,275.88,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,E WIE EINFACH,MeinÖkoTarif Strom,33.65,224.4,324.29,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,ENSTROGA,Fairpower X,19.32,219.84,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,7000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,28.43,497.42,423.12,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,ExtraEnergie,extraenergie Strom 12 Bonus,38.85,167.04,673.98,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Grünwelt Wärmestrom,Strom Bonus 12,35.62,250.6,600.6,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Grünwelt Wärmestrom,Strom Classic,30.26,147.92,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Grüüün,Natüüürlich25,27.58,212.95,0,18,12 Monate
ELECTRICITY,57413,Finnentrop,7000,KlickEnergie,KlickNaturstrom,30.65,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,KlickEnergie,KlickStrom,30.46,175.06,135,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,LichtBlick,ÖkoStrom Komfort 12,33.01,240.65,300,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,LogoEnergie,LogoStrom clever,31.06,128.52,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,MAXENERGY,MAX Ocean Strom 12,30.18,170.57,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,MONTANA,MONTANA dynamic,31.81,175.5,349.86,1,1 Monat
ELECTRICITY,57413,Finnentrop,7000,MONTANA,MONTANA garant 12,34.99,168.22,467.59,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,NEW Energie,NEWfair Strom 12,33.16,158.67,276.62,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Naturwerke,Naturstrom Premium classic,30.02,163.62,0,12,12 Monate
ELECTRICITY,57413,Finnentrop,7000,Ostrom,Ostrom SimplyFair,29.76,183.07,50.04,1,1 Monat
ELECTRICITY,57413,Finnentrop,7000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.66,186.96,0,1,1 Monat
ELECTRICITY,57413,Finnentrop,7000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,32.81,200.32,270,12,12 Monate
